player_id,overall,height_cm,weight_kg,nationality_name,preferred_foot,weak_foot,skill_moves,work_rate,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,last_valuation,name,position,sub_position,age
18944,83,194,85,Spain,Right,3,2,High/Medium,56.0,61.0,71.0,68.0,84.0,77.0,57,65,84,80,57,63,58,43,82,80,48,62,56,81,34,62,74,61,84,51,79,84,66,72,69,86,83,85,83,10,11,14,15,8,0.0,5000000,Gerard Piqué,Defender,Centre-Back,36
57370,74,184,83,France,Right,4,2,Medium/Medium,36.0,37.0,57.0,52.0,75.0,73.0,49,25,78,69,36,42,38,31,66,63,35,37,46,73,56,57,80,55,79,41,78,71,39,47,43,72,74,76,75,6,8,12,16,11,0.0,1500000,Damien Da Silva,Defender,Centre-Back,35
67089,70,185,78,Spain,Right,3,2,Medium/High,50.0,53.0,60.0,59.0,69.0,78.0,59,46,72,69,47,56,66,40,65,62,45,54,60,65,53,72,80,75,80,59,78,70,36,47,46,59,69,69,66,15,8,14,15,10,0.0,900000,Juan Cala,Defender,Centre-Back,33
100986,78,191,90,Belgium,Right,4,3,High/Medium,73.0,74.0,74.0,72.0,74.0,81.0,82,70,80,73,77,75,76,56,72,73,67,78,62,73,47,80,74,83,84,77,75,74,75,73,65,74,71,74,79,8,13,15,6,9,0.0,9000000,Thomas Meunier,Defender,Right-Back,31
153555,71,189,85,Germany,Right,3,2,Medium/Medium,68.0,47.0,58.0,55.0,71.0,81.0,52,39,67,65,41,56,40,41,63,52,54,80,53,68,52,60,55,83,82,53,83,70,46,55,46,65,72,72,71,7,12,12,11,13,0.0,800000,Sebastian Griesbeck,Defender,Centre-Back,32
156941,75,181,74,England,Right,5,3,Medium/Medium,63.0,70.0,73.0,71.0,72.0,77.0,67,66,63,78,64,69,74,54,76,77,65,61,64,69,74,79,58,84,74,74,82,73,69,74,52,75,74,72,71,14,6,6,9,8,0.0,5500000,John Lundstram,Midfield,Central Midfield,29
172015,78,186,81,Spain,Left,2,1,Medium/Medium,0.0,0.0,0.0,0.0,0.0,0.0,14,16,10,28,13,13,20,20,29,15,48,42,62,76,53,53,73,43,75,15,29,26,14,53,23,62,18,16,13,77,75,70,78,80,45.0,5000000,Fernando Pacheco,Goalkeeper,Goalkeeper,31
199976,75,192,87,Italy,Right,2,1,Medium/Medium,0.0,0.0,0.0,0.0,0.0,0.0,13,18,18,32,12,19,14,21,19,22,48,38,55,74,58,51,68,37,66,17,23,29,18,44,21,65,26,17,13,74,74,68,75,75,43.0,1500000,Marco Sportiello,Goalkeeper,Goalkeeper,31
203504,68,189,76,France,Right,3,2,Medium/Medium,50.0,69.0,57.0,64.0,28.0,62.0,57,70,77,64,57,64,42,46,51,67,57,44,53,69,68,72,87,64,70,64,32,24,72,57,68,64,22,20,24,11,14,13,13,13,0.0,1500000,Pierre-Yves Hamel,Attack,Centre-Forward,29
253765,76,188,77,Netherlands,Left,3,2,Medium/Medium,52.0,46.0,67.0,60.0,76.0,78.0,64,30,76,69,59,60,39,56,77,67,48,55,34,70,60,72,89,66,82,59,78,76,29,68,37,69,74,78,76,15,10,13,8,11,0.0,4000000,Wesley Hoedt,Defender,Centre-Back,29
338794,68,189,78,Turkey,Right,3,2,Medium/High,37.0,42.0,55.0,60.0,70.0,70.0,39,41,65,69,32,59,33,29,63,67,40,35,57,56,41,54,52,71,74,33,62,66,42,51,40,54,70,74,72,7,11,6,13,14,0.0,3500000,Fatih Aksoy,Defender,Centre-Back,25
340950,85,178,73,Portugal,Right,5,4,High/High,85.0,83.0,75.0,85.0,57.0,77.0,73,86,84,77,79,85,77,58,72,84,88,82,86,87,85,85,81,83,71,75,85,56,89,77,69,80,53,57,45,7,12,15,9,11,0.0,60000000,Diogo Jota,Attack,Left Winger,26
344392,70,182,75,Portugal,Right,3,3,Medium/Medium,73.0,41.0,60.0,68.0,65.0,73.0,66,35,57,65,35,70,60,38,54,68,72,74,61,70,64,55,72,81,70,37,71,67,62,56,48,60,62,68,66,5,7,10,5,14,0.0,1200000,Fernando Fonseca,Defender,Right-Back,26
354173,65,185,78,Turkey,Right,3,2,Medium/Medium,51.0,31.0,39.0,44.0,67.0,64.0,33,24,68,49,31,40,29,28,46,45,44,56,34,64,62,52,68,61,68,24,59,68,24,28,45,63,64,70,67,6,8,11,8,8,0.0,1700000,Adil Demirbag,Defender,Centre-Back,25
404260,67,184,70,Serbia,Left,2,2,Medium/Medium,67.0,41.0,56.0,66.0,64.0,59.0,68,36,55,63,31,67,43,43,49,68,67,67,66,59,61,45,60,64,55,45,61,61,50,42,49,48,62,68,69,13,6,6,11,6,0.0,2000000,Aleksa Terzić,Defender,Left-Back,23
423444,79,165,64,Spain,Right,3,3,Medium/High,60.0,56.0,77.0,77.0,77.0,65.0,72,53,60,84,55,78,54,55,82,77,62,58,77,75,78,61,57,67,63,60,68,78,63,79,49,66,77,81,80,14,11,8,13,9,0.0,14000000,Fran Beltrán,Midfield,Central Midfield,24
481688,71,183,71,Greece,Right,2,2,Medium/Medium,76.0,60.0,63.0,69.0,68.0,72.0,50,53,62,73,48,68,50,38,70,73,77,75,66,68,66,70,66,80,69,75,71,66,56,62,39,66,70,68,67,8,8,9,8,10,0.0,2500000,Sotiris Alexandropoulos,Midfield,Central Midfield,21
566723,76,178,68,France,Left,2,4,Medium/Medium,80.0,70.0,76.0,80.0,50.0,53.0,75,70,36,76,58,80,76,68,74,79,82,78,91,73,87,74,51,67,41,68,66,48,69,78,67,72,52,56,46,9,11,9,10,10,0.0,22000000,Michael Olise,Attack,Right Winger,21
607226,67,180,67,France,Left,3,3,Medium/Medium,76.0,60.0,63.0,69.0,37.0,53.0,66,59,50,67,59,72,60,49,59,70,75,76,64,65,69,64,55,55,55,61,47,32,56,61,59,59,37,36,33,14,12,15,8,14,0.0,2000000,Loum Tchaouna,Attack,Right Winger,19
23523,64,190,85,Denmark,Right,2,1,Medium/Medium,0.0,0.0,0.0,0.0,0.0,0.0,16,16,14,48,18,22,18,18,48,40,30,35,32,53,39,50,48,32,72,16,27,22,15,59,30,45,24,17,12,64,65,67,66,62,33.0,50000,Thomas Mikkelsen,Goalkeeper,Goalkeeper,39
43256,71,185,83,France,Right,3,2,Medium/Medium,41.0,45.0,61.0,61.0,72.0,69.0,59,40,74,67,29,62,56,36,64,58,34,46,55,68,64,59,69,44,80,46,75,73,48,59,50,69,73,72,68,11,15,10,12,11,0.0,1000000,Paul Baysse,Defender,Centre-Back,35
61867,67,187,87,Netherlands,Left,4,2,Medium/Medium,32.0,53.0,58.0,52.0,66.0,79.0,50,48,72,61,28,49,49,62,64,61,32,32,31,59,54,61,58,72,90,63,67,62,32,57,70,61,66,67,63,15,15,13,8,16,0.0,250000,Jeroen Veldmate,Defender,Centre-Back,34
85000,68,185,85,Benin,Right,3,3,High/Medium,70.0,67.0,63.0,70.0,34.0,72.0,65,67,64,65,60,71,66,55,52,70,77,64,69,66,71,73,72,76,77,65,52,23,65,65,60,63,34,35,27,11,9,7,12,5,0.0,500000,Cebio Soukou,Attack,Right Winger,30
145466,70,186,80,United States,Left,3,2,Medium/Medium,54.0,43.0,67.0,68.0,71.0,68.0,61,40,69,73,51,66,65,52,69,70,53,54,66,62,66,48,72,63,72,40,63,74,40,67,49,80,70,71,68,15,14,15,8,10,0.0,500000,Tim Ream,Defender,Centre-Back,35
149231,77,180,74,Spain,Left,2,3,High/Medium,72.0,72.0,77.0,75.0,54.0,64.0,78,75,46,79,58,76,70,73,74,74,71,72,78,78,72,72,75,70,60,66,65,49,76,78,79,68,55,58,60,14,14,10,9,12,0.0,2000000,Fidel,Attack,Left Winger,33
153678,70,183,80,Ghana,Right,3,3,Medium/Medium,79.0,63.0,63.0,69.0,52.0,66.0,69,63,49,65,53,70,56,41,59,69,82,77,73,66,74,69,78,69,73,56,43,50,67,65,65,58,52,56,49,7,6,6,9,13,0.0,800000,Kingsley Schindler,Defender,Right-Back,29
183334,78,185,71,England,Left,3,3,High/High,82.0,78.0,68.0,73.0,42.0,77.0,59,82,75,73,69,70,68,59,63,78,75,87,67,80,66,80,68,89,76,69,65,47,83,74,74,77,50,27,20,9,7,11,6,16,0.0,20000000,Patrick Bamford,Attack,Centre-Forward,29
230784,84,185,77,Ghana,Right,3,3,Medium/High,65.0,71.0,81.0,80.0,80.0,83.0,74,66,68,85,56,84,69,70,85,83,61,68,67,82,50,86,83,82,84,78,84,81,70,85,49,86,80,84,80,11,13,9,9,7,0.0,40000000,Thomas Partey,Midfield,Defensive Midfield,29
238993,71,193,75,Italy,Right,2,1,Medium/Medium,0.0,0.0,0.0,0.0,0.0,0.0,20,20,18,30,20,13,20,22,34,21,50,50,60,68,45,45,70,40,65,16,35,20,12,35,18,61,15,24,18,70,68,60,70,75,50.0,800000,Simone Scuffet,Goalkeeper,Goalkeeper,26
261546,67,193,75,Netherlands,Left,2,2,Medium/Medium,59.0,34.0,56.0,61.0,66.0,66.0,40,25,65,68,33,58,26,34,68,68,52,65,59,67,49,56,79,52,72,32,64,74,35,55,44,63,62,64,68,13,7,9,7,11,0.0,700000,Joost van Aken,Defender,Centre-Back,29
307052,75,177,62,Japan,Left,4,3,Medium/Medium,80.0,66.0,70.0,80.0,43.0,45.0,70,70,59,75,70,80,62,60,66,79,84,76,86,74,80,50,43,78,32,68,36,42,73,68,65,73,49,35,31,6,8,14,13,13,0.0,5000000,Masaya Okugawa,Attack,Attacking Midfield,27
